,vic_x,vic_y,sept2014JanMaxTemp_0,sept2014JanRainfall_0,sept2014JulMinTemp_0,sept2014JulRainfall_0,VMLITE_BUILT_UP_AREA,VMLITE_FOREST_SU2,VMLITE_HY_WATER_AREA,VMLITE_PUBLIC_LAND_SU3
2778,2738835.4430379746,2501594.9367088606,297.1549072265625,5.775400161743164,44.22460174560547,20.784400939941406,False,False,True,False
2779,2749367.088607595,2501594.9367088606,293.58740234375,6.932000160217285,42.050899505615234,19.847000122070312,False,False,False,False
2780,2759898.734177215,2501594.9367088606,259.61920166015625,28.373300552368164,19.940799713134766,41.05929946899414,False,True,False,False
2781,2770430.3797468357,2501594.9367088606,221.3155975341797,64.20770263671875,3.238300085067749,110.60440063476562,False,True,False,True
2782,2780962.025316456,2501594.9367088606,246.96629333496094,39.59669876098633,12.053600311279297,46.03860092163086,False,True,False,True
2783,2791493.670886076,2501594.9367088606,255.96539306640625,32.57809829711914,14.035300254821777,24.89620018005371,False,True,False,True
2784,2802025.3164556962,2501594.9367088606,312.1199035644531,10.530699729919434,46.28110122680664,6.78249979019165,False,True,False,True
2785,2812556.9620253164,2501594.9367088606,281.4436950683594,17.360200881958008,28.47949981689453,1.9823999404907227,False,True,False,True
2786,2823088.6075949366,2501594.9367088606,280.4873046875,23.90730094909668,22.805099487304688,7.92080020904541,False,False,False,False
2787,2833620.253164557,2501594.9367088606,274.79998779296875,24.716299057006836,20.815799713134766,7.917799949645996,False,False,False,False
2788,2844151.8987341775,2501594.9367088606,272.7549133300781,26.27039909362793,19.718399047851562,7.135799884796143,False,False,False,False
2789,2854683.5443037977,2501594.9367088606,264.2367858886719,32.588600158691406,13.817999839782715,12.944700241088867,False,False,False,False
2790,2865215.189873418,2501594.9367088606,284.27020263671875,19.5093994140625,27.328899383544922,0.8263000249862671,False,False,False,False
2791,2875746.835443038,2501594.9367088606,278.60870361328125,28.164899826049805,26.681400299072266,11.402099609375,False,False,False,False
