UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
4405240,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,18/MAY/1996,-37.91086,147.29194,100,1,,,Captured and released,FAUNA,1,VIC,319,9,248,694943,,16/AUG/11 12:00:00.000000000 AM
4405240,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,18/MAY/1996,-37.91086,147.29194,100,1,,,Captured and released,FAUNA,1,VIC,319,9,248,694943,,16/AUG/11 12:00:00.000000000 AM
4406577,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Pitfall with drift fence,05/FEB/1992,-37.81743,146.33832,100,2,,,Captured and released,FAUNA,2,VIC,305,9,,695499,,16/AUG/11 12:00:00.000000000 AM
4406577,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Pitfall with drift fence,05/FEB/1992,-37.81743,146.33832,100,2,,,Captured and released,FAUNA,2,VIC,305,9,,695499,,16/AUG/11 12:00:00.000000000 AM
4407228,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Pitfall with drift fence,20/JAN/1992,-37.84333,145.84142,100,1,,,Captured and released,FAUNA,4,VIC,305,9,2868,695957,,16/AUG/11 12:00:00.000000000 AM
4407228,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Pitfall with drift fence,20/JAN/1992,-37.84333,145.84142,100,1,,,Captured and released,FAUNA,4,VIC,305,9,2868,695957,,16/AUG/11 12:00:00.000000000 AM
4426328,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Cage trap,16/DEC/1986,-37.45306,145.13636,100,2,,,Captured and released,FAUNA,37,VIC,373,7,3292,697124,,16/AUG/11 12:00:00.000000000 AM
4431576,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Incidental,01/JUL/1986,-37.5808,145.36307,100,,,,Observation,FAUNA,11,VIC,377,7,,697447,,16/AUG/11 12:00:00.000000000 AM
4431641,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,28/MAR/1988,-37.42782,145.07935,100,1,,,Captured and released,FAUNA,43,VIC,373,7,,697451,,16/AUG/11 12:00:00.000000000 AM
4433413,11028,Antechinus agilis,Agile Antechinus,Mammals,Acceptable,0,High reliability,,Elliott trap,27/APR/1988,-37.6313,145.3019,100,10,,,Captured and released,FAUNA,21,VIC,356,7,368,697558,,16/AUG/11 12:00:00.000000000 AM
