UFI,TAXON_ID,SCIENTIFIC_DISPLAY_NME,COMMON_NME,TAXON_TYPE,RELIABILITY,RATING_INT,RELIABILITY_TXT,REVIEW_COMMENT_TXT,SAMPLING_METHOD_DESC,SURVEY_START_DATE,LATITUDEDD_NUM,LONGITUDEDD_NUM,LAT_LONG_ACCURACYDD_INT,TOTAL_COUNT_INT,BEHAVIOUR,EXTRA_INFORMATION,RECORD_TYPE,PRIMARY_CDE,SV_RECORD_COUNT,STATE_CDE,LGA_UFI,CMA_NO,PARK_ID,SURVEY_ID,SITE_ORIGIN_STATUS_CDE,CREATION_TSP
5227132,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,High reliability,,Birds Australia 2ha search,20/OCT/2000,-34.26033,141.34511,140,,,,Observation,FAUNA,14,VIC,345,1,,909978,,16/AUG/11 12:00:00.000000000 AM
6268902,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,22/NOV/2011,-38.00817,145.69319,100,1,,,Heard,FAUNA,12,VIC,311,7,3329,991636,,22/AUG/13 09:37:12.668000000 AM
6269094,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Unconfirmed,,,Suspect wrong treecreeper species code used here.  Should be White-throated (VBA 10558). M.O'B,Timed bird census,28/JUN/2011,-37.90721,145.56418,100,1,,,Heard,FAUNA,6,VIC,311,7,3253,991658,,22/AUG/13 09:44:28.683000000 AM
7002884,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),08/OCT/1998,-34.41667,141.43333,100,1,,,Captured and released,FAUNA,1,VIC,345,,352,1119241,,15/APR/16 11:12:40.000000000 AM
7001088,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Trap (unspecified),16/JAN/1999,-34.41667,141.43333,100,3,,,Captured and released,FAUNA,1,VIC,345,,352,1118592,,15/APR/16 11:12:40.000000000 AM
7812445,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Birds Australia 2ha search,10/JUN/2008,-37.49832,142.34971,100,,,,Observation,FAUNA,18,VIC,362,,3316,1196283,,03/JUN/16 02:02:30.000000000 PM
7812430,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,,High reliability,Candidate record HDM 2015,Birds Australia 5km area search,04/APR/2005,-35.44406,141.99661,100,,,,Observation,FAUNA,67,VIC,345,,3309,1214409,,03/JUN/16 02:02:30.000000000 PM
9013299,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,24/SEP/2018,-34.399402,141.400615,10,2,,,Seen,FAUNA,15,VIC,345,1,,1747616,indig,12/JAN/19 11:53:58.993000000 AM
9013307,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,Acceptable,0,,,Incidental,24/SEP/2018,-34.399402,141.400615,10,1,,,Heard,FAUNA,15,VIC,345,1,,1747616,indig,12/JAN/19 11:53:58.993000000 AM
9014190,10561,Climacteris affinis,White-browed Treecreeper,Passerine birds,,0,,,Incidental,25/SEP/2018,-34.390288,141.391064,10,1,,,Heard,FAUNA,3,VIC,345,1,352,1747986,indig,17/JAN/19 08:55:27.583000000 AM
